id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,is_duplicate_title
38568,tt1049402,0.275607,30000,617000,Howl,James Franco|Jon Hamm|Mary-Louise Parker|Treat Williams|Jeff Daniels,http://howlthemovie.com/,Rob Epstein|Jeffrey Friedman,The Obscenity Trial That Started a Revolution. The Poem That Rocked a Generation.,poetry|literature|freedom|homosexuality|independent film,"It's San Francisco in 1957, and an American masterpiece is put on trial. Howl, the film, recounts this dark moment using three interwoven threads: the tumultuous life events that led a young Allen Ginsberg to find his true voice as an artist, society's reaction (the obscenity trial), and mind-expanding animation that echoes the startling originality of the poem itself. All three coalesce in a genre-bending hybrid that brilliantly captures a pivotal moment-the birth of a counterculture.",84,Drama,RabbitBandini Productions|Werc Werk Works,8/26/10,45,6.8,2010,30000.0,617000.0,True
26177,tt0207972,0.54872,0,0,Annie,Kathy Bates|Victor Garber|Alan Cumming|Audra McDonald|Kristin Chenoweth,,Rob Marshall,Disney makes the classical musical more magical than ever!,holiday|musical|based on short story|based on stage musical|franklin d. roosevelt,"Eleven-year-old Annie has been living in an orphanage her whole life run by cruel Miss Hannigan. After unsuccessful escape attempts, Grace Farrell comes to take the child home to live two weeks with billionaire Oliver Warbucks during Christmas.",90,Music|Family|Comedy,Walt Disney Television|Storyline Entertainment|Chris Montan Productions|Columbia TriStar Television,11/7/99,35,5.5,1999,0.0,0.0,True
16716,tt0216621,0.521573,0,0,A Christmas Carol,Patrick Stewart|Richard E. Grant|Joel Grey|Ian McNeice|Saskia Reeves,,David Hugh Jones,,holiday|scrooge|ghost,"Scrooge is a miserly old businessman in 1840's London. One Christmas Eve he is visited by the ghost of Marley, his dead business partner. Marley foretells that Scrooge will be visited by three spirits, each of whom will attempt to show Scrooge the error of his ways. Will Scrooge reform his ways in time to celebrate Christmas? Written by Mike Konczewski",95,Drama|Fantasy,Turner Network Television (TNT)|Hallmark Entertainment,12/5/99,23,6.1,1999,0.0,0.0,True
6522,tt0123964,0.383326,80000000,73345029,Life,Eddie Murphy|Martin Lawrence|Obba BabatundÃ©|Nick Cassavetes|Bernie Mac,,Ted Demme,Share it with someone you love.,mississippi|racist|bootlegging|criminal|life imprisonment,Two men in 1930s Mississippi become friends after being sentenced to life in prison together for a crime they did not commit.,108,Comedy|Crime|Drama,Imagine Entertainment|Universal Pictures,4/16/99,87,6.6,1999,104724227.727545,96012518.9959931,True
30923,tt0164993,0.253305,21000000,0,Alice in Wonderland,Tina Majorino|Robbie Coltrane|Ben Kingsley|Miranda Richardson|Martin Short,,Nick Willing,A Masterpiece of Imagination...,,"Alice follows a white rabbit down a rabbit-hole into a whimsical Wonderland, where she meets characters like the delightful Cheshire Cat, the clumsy White Knight, a rude caterpillar, and the hot-tempered Queen of Hearts and can grow ten feet tall or shrink to three inches. But will she ever be able to return home?",150,Fantasy|Family,NBC|Hallmark Entertainment,2/28/99,39,6.3,1999,27490109.7784807,0.0,True
10047,tt0151137,0.23522300000000002,60000000,66976317,Joan of Arc,Milla Jovovich|Dustin Hoffman|Faye Dunaway|John Malkovich|Vincent Cassel,,Luc Besson,,schizophrenia|france|rape|siege|biography,In 1429 a teenage girl from a remote French village stood before her King with a message she claimed came from God; that she would defeat the world's greatest army and liberate her country from its political and religious turmoil. Following her mission to reclaim god's dimished kingdom - through her amazing victories until her violent and untimely death.,148,Adventure|Drama|Action|History|War,Columbia Pictures|Gaumont,10/18/99,209,6.1,1999,78543170.7956593,87675538.4232537,True
467,tt0242527,0.718104,0,0,The Hole,Thora Birch|Desmond Harrington|Keira Knightley|Laurence Fox|Daniel Brocklebank,,Nick Hamm,"Once you get in, you can't get out.",jealousy|obsession|claustrophobia|bunker|thirst,Four teenagers at a British private school secretly uncover and explore the depths of a sealed underground hole created decades ago as a possible bomb shelter.,102,Crime|Drama|Horror|Thriller,Cowboy Films|Film Council|Granada Film Productions|Impact Pictures|PathÃ© Pictures International,4/20/01,92,6.2,2001,0.0,0.0,True
11088,tt0252503,0.272619,35000000,0,Heist,Gene Hackman|Danny DeVito|Delroy Lindo|Sam Rockwell|Rebecca Pidgeon,,David Mamet,It isn't love that makes the world go round.,gold|blackmail|bank robber|jewelry|receiving of stolen goods,"Joe Moore has a job he loves. He's a thief. His job goes sour when he gets caught on security camera tape. His fence, Bergman reneges on the money he's owed, and his wife may be betraying him with the fence's young lieutenant. Moore and his partner, Bobby Blane and their utility man, Pinky Pincus find themselves broke, betrayed, and blackmailed. Moore is forced to commit his crew to do one last big job.",107,Action|Crime|Drama|Thriller,Epsilon Motion Pictures|Franchise Pictures|Indelible Pictures|Linson Entertainment|Art Linson Productions,11/9/01,62,6.5,2001,43102084.0842845,0.0,True
11889,tt0280778,0.22315100000000002,0,0,Iris,Judi Dench|Jim Broadbent|Kate Winslet|Hugh Bonneville|Penelope Wilton,,Richard Eyre,,based on novel|new love|love of one's life|retiree|aging,"True story of the lifelong romance between novelist Iris Murdoch and her husband John Bayley, from their student days through her battle with Alzheimer's disease.",91,Drama|Romance,Miramax Films|BBC Films|Intermedia Films,12/14/01,21,5.7,2001,0.0,0.0,True
88751,tt0373051,1.996757,45000000,101702060,Journey to the Center of the Earth,Brendan Fraser|Josh Hutcherson|Anita Briem|Seth Meyers|Jean Michel ParÃ©,,Eric Brevig,Same Planet. Different World.,volcano|prehistoric|dinosaur|prehistoric creature|3d,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",93,Action|Science Fiction|Adventure|Comedy|Family,New Line Cinema|Walden Media,7/10/08,704,5.7,2008,45575398.5214125,103002486.99885699,True
8909,tt0493464,1.982998,75000000,258270008,Wanted,Angelina Jolie|James McAvoy|Morgan Freeman|Thomas Kretschmann|Terence Stamp,http://www.wantedmovie.com/,Timur Bekmambetov,Choose your destiny.,assassin|loss of father|secret society|mission of murder|revenge,"Doormat Wesley Gibson discovers that his recently murdered father â€“ who Wesley never knew â€“ belonged to a secret guild of assassins. After a leather-clad sexpot drafts Wesley into the society, he hones his innate killing skills and turns avenger.",110,Action|Thriller|Crime,Universal Pictures|Spyglass Entertainment|Bazelevs Production|Kickstart Productions|Marc Platt Productions,6/12/08,1670,6.3,2008,75958997.5356875,261572412.016186,True
7351,tt0903627,0.281186,6000000,1300000,Julia,Tilda Swinton|Kate del Castillo|Aidan Gould|Bruno Bichir|Horacio Garcia Rojas,,Erick Zonca,,mexico|alcohol|money delivery|vault|mother role,An alcoholic (Tilda Swinton) becomes involved in a fellow A.A. member's plan to kidnap her young son from the boy's wealthy grandfather.,138,Drama,Le Bureau|Jaibol Films,2/9/08,10,7.1,2008,6076719.802855,1316622.62395191,True
64586,tt1588398,0.851701,10000000,0,Sleeping Beauty,Emily Browning|Rachael Blake|Ewen Leslie|Mirrah Foulkes|Ivy Mak,http://sleepingbeautyfilm.com/,Julia Leigh,Awaken to a World of Wonders!,prostitute|eroticism|limousine|sadomasochism|student,"A haunting erotic fairytale about Lucy, a young University student drawn into a mysterious hidden world of beauty and desire.",102,Drama|Romance,Screen Australia|Screen NSW|Fulcrum Media Finance|Spectrum Films|Magic Films,6/10/11,100,5.4,2011,9693980.42591472,0.0,True
63207,tt1634121,0.755324,13000000,0,Intruders,Clive Owen|Carice van Houten|Ella Purnell|Ella Hunt|Imogen Gray,,Juan Carlos Fresnadillo,The Nightmare is Real.,suspense|construction site|protective father,"Though no one can see him, Hollow Face lurks in the corners, desperately desiring love but only knowing how to spread fear and hate. He creeps into the life of John Farrow (Clive Owen) after Farrowâ€™s beloved 13-year-old daughter Mia (Ella Purnell) is assaulted in their home. The line between the real and the imaginary blurs as fissures start to open within the family unit. It seems that no security measure can keep Hollow Face out.",100,Horror|Thriller|Drama,Universal Pictures International (UPI)|Antena 3 Films|Apaches Entertainment|Canal+ EspaÃ±a|Ministerio de Cultura,9/12/11,83,5.2,2011,12602174.5536891,0.0,True
9364,tt1181614,0.41462899999999997,8000000,100915,Wuthering Heights,Kaya Scodelario|James Northcote|Amy Wren|Nichola Burley|Steve Evets,http://www.artificial-eye.com/film.php?cinema=wutheringheights&plugs&qt=false&wm=false,Andrea Arnold,Love is a force of nature.,based on novel|foster sister|moor|yorkshire england|foster family,"A poor boy of unknown origins is rescued from poverty and taken in by the Earnshaw family where he develops an intense relationship with his young foster sister, Cathy. Based on the classic novel by Emily Bronte.",129,Drama|Romance,Ecosse Films|Film4 Productions,9/5/11,36,5.6,2011,7755184.34073177,97826.80346811839,True
73499,tt1646980,0.38117399999999996,17000000,3696232,The Double,Stephen Moyer|Topher Grace|Richard Gere|Stana Katic|Martin Sheen,http://www.thedoublemovie.com/,Michael Brandt,,double agent,"The mysterious murder of a US senator bearing the distinctive trademark of the legendary Soviet assassin 'Cassius', forces retired CIA operative, Paul Shepherson to team with rookie FBI agent, Ben Geary  to solve the crime. Having spent his career chasing Cassius, Shepherdson is convinced his nemesis is long dead, but is pushed to take on the case by his former supervisor, Tom Highland. Geary, who wrote his Master's thesis on Shepherdson's pursuit of the Soviet killer, is certain that Cassius has resurfaced.",98,Drama|Action|Thriller|Crime|Mystery,Industry Entertainment|Imagenation Abu Dhabi FZ|Hyde Park Entertainment|Agent Two|Brandt/Haas Productions,10/27/11,133,5.9,2011,16479766.724055,3583120.06576396,True
84404,tt1682181,0.357401,1100000,0,Bully,David Long,http://www.thebullyproject.com/,Lee Hirsch,It's time to take a stand.,bullying,"This year, over 5 million American kids will be bullied at school, online, on the bus, at home, through their cell phones and on the streets of their towns, making it the most common form of violence young people in this country experience. The Bully Project is the first feature documentary film to show how we've all been affected by bullying, whether we've been victims, perpetrators or stood silent witness. The world we inhabit as adults begins on the playground. The Bully Project opens on the first day of school. For the more than 5 million kids who'll be bullied this year in the United States, it's a day filled with more anxiety and foreboding than excitement. As the sun rises and school busses across the country overflow with backpacks, brass instruments and the rambunctious sounds of raging hormones, this is a ride into the unknown.",92,Drama|Documentary,,4/23/11,31,7.5,2011,1066337.84685061,0.0,True
54320,tt1541874,0.260875,500000,0,Love,Gunner Wright|Wesley Sellick|Corey Richardson|Bradley Horne|Nancy Stelle,http://modlife.com/angelsandairwaves,William Eubank,Have you ever felt alone?...What if you truly were?,isolation|space|astronaut|space station|solitude,"After losing contact with Earth, Astronaut Lee Miller becomes stranded in orbit alone aboard the International Space Station. As time passes and life support systems dwindle, Lee battles to maintain his sanity - and simply stay alive. His world is a claustrophobic and lonely existence, until he makes a strange discovery aboard the ship.",90,Drama|Science Fiction,Angels & Airwaves,2/2/11,42,5.0,2011,484699.021295736,0.0,True
70821,tt1930315,0.254363,0,0,Cyberbully,Emily Osment|Kay Panabaker|Meaghan Rath|Kelly Rowan|Jon McLaren,,Charles BinamÃ©,Words can hurt.,suicide attempt|bullying|betrayal|bully|betrayal by friend,A woman tries to help her teenage daughter when she becomes the victim of online bullying.,90,Drama|Family,Muse Entertainment Enterprises,7/16/11,126,6.5,2011,0.0,0.0,True
86549,tt1753460,0.004748,0,0,August,Murray Bartlett|Daniel Dugan|Adrian Gonzalez,http://erapfilms.com/august/,Eldar Rapaport,,drama|romance|gay romance,"August tells the story of two former lovers, Troy and Jonathan, who reunite after a long ago painful breakup. After spending several years in Spain, Troy returns to Los Angeles and decides to phone Jonathan and meet for coffee. A seemingly innocent rendezvous turns into an attempt to revive passions past. Only this time it's not that simple as Jonathan has a new beau, Raul, and is trying to make the right decision a second time around.",100,Drama,,6/9/11,12,6.4,2011,0.0,0.0,True
2675,tt0286106,1.381699,72000000,408247917,Signs,Mel Gibson|Joaquin Phoenix|Rory Culkin|Abigail Breslin|Cherry Jones,,M. Night Shyamalan,Itâ€™s not like they didnâ€™t warn us.,symbolism|water|peasant|alien life-form|farm,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,106,Drama|Thriller|Science Fiction|Mystery,"Kennedy/Marshall Company, The|Touchstone Pictures|Blinding Edge Pictures",8/2/02,905,6.3,2002,87282820.3406793,494903188.805105,True
150004,tt0289830,0.46933199999999997,0,0,Taken,Dakota Fanning|Matt Frewer|Eric Close|Emily Bergl|Heather Donahue,,Breck Eisner|FÃ©lix EnrÃ­quez AlcalÃ¡|John Fawcett|Tobe Hooper|Jeremy Kagan|Michael Katleman|Sergio Mimica-Gezzan|Bryan Spicer|Thomas J. Wright,Some secrets we keep. Some are kept from us,,"Taken spans five decades and four generations, centering on three families: the Keys, Crawfords, and Clarkes. World War II veteran Russell Keys is plagued by nightmares of his abduction by aliens during the war; the Roswell incident transforms Owen Crawford from ambitious Air Force captain to evil shadow government conspirator; the unhappily married Sally Clarke is impregnated by an alien visitor. As the decades go by, the heirs of each are affected by the machinations of the aliens, culminating with the birth of Allie Keys, who is the final product of the aliens' experimentation and holds the key to their future",877,Science Fiction,DreamWorks,12/2/02,38,6.8,2002,0.0,0.0,True
30072,tt0256276,0.214587,25000000,10113733,Possession,Gwyneth Paltrow|Aaron Eckhart|Jeremy Northam|Jennifer Ehle|Lena Headey,,Neil LaBute,The past will connect them. The passion will possess them.,,"Maud Bailey, a brilliant English academic, is researching the life and work of poet Christabel La Motte. Roland Michell is an American scholar in London to study Randolph Henry Ash, now best-known for a collection of poems dedicated to his wife. When Maud and Roland discover a cache of love letters that appear to be from Ash to La Motte, they follow a trail of clues across England, echoing the journey of the couple over a century earlier.",102,Drama|Mystery,Warner Bros. Pictures|Focus Features|Baltimore Spring Creek Productions,10/2/02,23,6.6,2002,30306534.8405136,12260488.0612861,True
39227,tt0324532,0.212966,0,0,When in Rome,Mary-Kate Olsen|Ashley Olsen|Leslie Danon|Julian Stone|Michelangelo Tommaso,,Steve Purcell,,rome|summer|twins|teenager|fashion,"Teenage sisters Charli and Lola are on the verge of an experience beyond their wildest dreams! Pack your bags and jet off to Rome as the girls start their summer internship working for the legendary Derek Hanson - the totally cool international tycoon whose empire reaches from airlines to cutting-edge fashion. Amid the fabulous sights of this exciting city, the girls do their best to impress their boss, while still finding time to design their own line of very hip clothing, meet some very cute guys and turn their summer abroad into one awesome adventure they - and you - will never forget!",94,Action|Adventure|Comedy|Drama|Family,,11/26/02,38,5.7,2002,0.0,0.0,True
13560,tt0290210,0.137005,11000000,0,Max,John Cusack|Noah Taylor|Leelee Sobieski|Molly Parker|Kevin McKidd,,Menno Meyjes,Art + Politics = Power,infidelity|controversy,"In 1918, a young, disillusioned Adolph Hitler strikes up a friendship with a Jewish art dealer while weighing a life of passion for art vs. talent at politics",106,War|Drama,Film Council|Alliance Atlantis Communications|PathÃ© Pictures International|AAMPI Inc.|Bioskop Film,9/10/02,19,6.2,2002,13334875.329826,0.0,True
3036,tt0109836,0.564501,45000000,112006296,Frankenstein,Robert De Niro|Kenneth Branagh|Tom Hulce|Helena Bonham Carter|Aidan Quinn,,Kenneth Branagh,Be Warned.  It's Alive,experiment with human beings|frankenstein,"Based on Mary Shelley's novel, ""Frankenstein"" tells the story of Victor Frankenstein, a promising young doctor who, devastated by the death of his mother during childbirth, becomes obsessed with bringing the dead back to life. His experiments lead to the creation of a monster, which Frankenstein has put together with the remains of corpses. It's not long before Frankenstein regrets his actions.",123,Drama|Horror|Science Fiction|Romance,American Zoetrope|TriStar Pictures,11/4/94,120,5.8,1994,66200020.2719173,164773757.01738602,True
10447,tt0110678,0.414753,20000000,0,No Escape,Ray Liotta|Lance Henriksen|Stuart Wilson|Kevin Dillon|Kevin J. O'Connor,,Martin Campbell,No Guards. No Walls.,dystopia,"In the year 2022, a ruthless prison warden has created the ultimate solution for his most troublesome and violent inmates: Absolom, a secret jungle island where prisoners are abandoned and left to die. But Marine Captain John Robbins, convicted of murdering a commanding officer, is determined to escape the island in order to reveal the truth behind his murderous actions and clear his name.",118,Action|Drama|Science Fiction|Thriller,Columbia Pictures Corporation|Pacific Western|Allied Filmmakers|Platinum Pictures,4/29/94,26,6.2,1994,29422231.231963202,0.0,True
96599,tt1734433,0.402947,0,0,Eden,Jamie Chung|Beau Bridges|Matt O'Leary|Tantoo Cardinal|Naama Kates,,Megan Griffiths,"Innocence isn't lost, it's stolen.",slavery|human trafficking|moral ambiguity|prostitution|woman director,"The true story of Chong Kim who, as a young teen, was abducted into the sex trade, and the complicated moral choices she had to make in order to survive as her situation grew more desperate.",98,Drama,Eden Productions,3/11/12,32,6.5,2012,0.0,0.0,True
101325,tt1368858,0.383809,0,0,The Forger,Lauren Bacall|Josh Hutcherson|Alfred Molina|Billy Boyd|Dina Eastwood,,Lawrence Roeck,"Love by design, Friendship by paint, Death by brush.",california|painter|beach|gallery|stripper,"While staying at a picturesque village, a teen encounters the underground world of art forgery.",96,Drama,Jetlag Productions|Bahr Productions Inc.|Experience Media Studios,7/3/12,25,6.8,2012,0.0,0.0,True
157305,tt2391009,0.134777,10400,0,Head Over Heels,Nigel Anthony|Ruth Rayyah McCaul,http://www.headoverheelsfilm.com,Timothy Reckart,Sometimes you can't agree which way is up.,marriage,"After many years of marriage, Walter and Madge have grown apart: he lives on the floor and she lives on the ceiling. When Walter tries to reignite their old romance, their equilibrium comes crashing down, and the couple that can't agree which way is up must find a way put their marriage back together.",10,Family|Animation|Comedy|Romance,National Film and Television School (NFTS),5/24/12,10,6.6,2012,9877.34052606335,0.0,True
9616,tt0304711,0.556095,35000000,11560806,The Order,Heath Ledger|Shannyn Sossamon|Benno FÃ¼rmann|Mark Addy|Peter Weller,,Brian Helgeland,Every soul has its price.,riddle|rome|dream|death by hanging|key,"For centuries, a secret Order of priests has existed within the Church. A renegade priest, Father Alex Bernier, is sent to Rome to investigate the mysterious death of one of the Order's most revered members. Following a series of strangely similar killings, Bernier launches an investigation that forces him to confront unimaginable evil.",102,Drama|Fantasy|Horror|Mystery|Romance,Twentieth Century Fox Film Corporation|N1 European Film Produktions GmbH & Co. KG|Baumgarten Merims Productions,9/5/03,42,4.8,2003,41487342.5673884,13703631.9679177,True
21544,tt0314431,0.246824,0,0,Hope Springs,Colin Firth|Heather Graham|Minnie Driver|Mary Steenburgen|Frank Collison,,Mark Herman,The problem every man dreams of... a choice.,mayor|motel|vermont|sketch artist|small town girl,"British artist Colin Ware discovers that his fiancÃ©e, Vera, is going to marry another man. Distraught and despondent, he gets on a plane for America and ends up in the tiny town of Hope in New England. At first, Colin is depressed, but he soon finds more than a shoulder to cry on when his innkeepers introduce him to Mandy, a beautiful nurse. All's going well and Colin has almost forgotten his old flame until Vera shows up with a surprise of her own.",90,Comedy|Romance,Fragile Films|Scala Films|Touchstone Pictures|Prominent Features|Mumbo Jumbo Productions,5/9/03,15,4.8,2003,0.0,0.0,True
11970,tt0119282,3.4889099999999997,85000000,252712101,Hercules,Tate Donovan|Josh Keaton|Roger Bart|Danny DeVito|James Woods,,John Musker|Ron Clements,Zero to Hero!,hades|musical|peasant|olymp|animation,"Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!",93,Animation|Family|Fantasy|Adventure|Comedy,Walt Disney Pictures,6/26/97,909,7.0,1997,115469127.29112801,343299361.863264,True
25571,tt0116147,2.407266,3500000,0,Drive,Mark Dacascos|Kadeem Hardison|John Pyper-Ferguson|Brittany Murphy|Tracey Walter,,Steve Wang,There ain't no cruise control.,electromagnetic pulse|virtual reality|independent film|boarding house|boat chase,"Drive follows Toby Wong (Mark Dacascos), whose employers at Hong Kong's Leung Corporation have implanted in his chest a bio-energy module that enhances his physical abilities. Toby has escaped from the Leung Corporation's control and is making his way to Los Angeles, where a competing company has offered to remove the implant and give him his life back.After arriving in San Francisco, Toby encounters -- and, in desparation, kidnaps -- Malik Brodie (Kadeem Hardison), who has the means to get him to Los Angeles. Following close behind are professional assassins and junk-culture connoisseurs Vic Madison (John Pyper-Ferguson) and The Hedgehog (Tracey Walter), who are pursuing Toby in the employ of the Leung Corporation's president, Mr. Lau (James Shigeta).",100,Action|Adventure|Science Fiction|Comedy,Overseas FilmGroup,8/4/97,10,6.3,1997,4754611.12375233,0.0,True
50512,tt0118623,0.2817,35000000,791830,Anna Karenina,Sophie Marceau|Sean Bean|Alfred Molina|Mia Kirshner|James Fox,,Bernard Rose,"In a world of power and privilege, one woman dared to obey her heart.",,Anna (Marceau) is a wife and mother who has an affair with the handsome Count Vronsky (Bean). Based on the novel by Tolstoy.,108,Drama|Romance,Icon Entertainment International|Warner Bros.|Studio Trite,4/4/97,11,6.0,1997,47546111.237523295,1075669.63603451,True
42884,tt0128996,0.156333,0,0,Cinderella,Brandy Norwood|Whitney Houston|Whoopi Goldberg|Bernadette Peters|Jason Alexander,,Robert Iscove,,cinderella|musical|rodgers & hammerstei,"Updated version of the classic Rodgers and Hammerstein musical of the classic fairy-tale, with an all-star, multi-racial cast.",88,Family|Fantasy|Music|Romance|Science Fiction,Walt Disney Television|Citadel Entertainment|Storyline Entertainment|BrownHouse Productions,11/2/97,16,5.2,1997,0.0,0.0,True
